epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7057.46,1.08797,0.85485,1.02302,0.94638,0.85567,0.92855,0.47739,1.56151,1.10255,1.21461,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,7260.85,1.05196,0.83483,0.99614,0.94865,0.85567,0.92263,0.4762,1.58452,1.07107,1.261,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,7463.73,1.1024,0.85854,1.00839,0.94496,0.84536,0.92066,0.48825,1.53813,1.07126,1.22586,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,7692.1,1.00827,0.80563,0.99551,0.91556,0.89425,0.92962,0.48267,1.54392,1.06218,1.19971,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,7913.32,1.03948,0.82778,0.99082,0.94492,0.8843,0.92724,0.4866,1.56818,1.08869,1.21521,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,8128.65,1.03255,0.79043,1.002,0.94239,0.84317,0.90388,0.46677,1.57174,1.11013,1.22454,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,8363.59,1.02082,0.79446,1.00354,0.94083,0.86598,0.90699,0.48267,1.56776,1.08613,1.19933,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,8663.51,1.01364,0.78438,0.98331,0.94356,0.84536,0.89389,0.46998,1.60242,1.09707,1.20792,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,8874.52,1.04686,0.77691,1.00383,0.96072,0.87629,0.92693,0.48831,1.54898,1.06824,1.22064,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,9087.41,1.02917,0.74874,0.98632,0.95413,0.85775,0.91952,0.47353,1.55757,1.07407,1.22647,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,9291.67,1.03769,0.75211,0.99339,0.94309,0.85419,0.91957,0.47258,1.57489,1.0651,1.23751,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,9514.65,0.98515,0.74528,0.99289,0.96025,0.8866,0.93711,0.47392,1.56331,1.04491,1.23072,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,9751.95,0.95476,0.71567,0.98115,0.95317,0.87629,0.9281,0.47909,1.60613,1.04022,1.2401,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
